"neighborhood","size_all","avg_total_debts_all","avg_non_loan_all","avg_secured_all","avg_unsecured_all","avg_credit_card_all","avg_student_loan_all","avg_friends_family_all","avg_utilities_all","avg_non_loan_share_all","avg_secured_share_all","avg_unsecured_share_all","size_10K","avg_total_debts_10K","avg_non_loan_10K","avg_secured_10K","avg_unsecured_10K","avg_credit_card_10K","avg_student_loan_10K","avg_friends_family_10K","avg_utilities_10K","avg_non_loan_share_10K","avg_secured_share_10K","avg_unsecured_share_10K","size_30K","avg_total_debts_30K","avg_non_loan_30K","avg_secured_30K","avg_unsecured_30K","avg_credit_card_30K","avg_student_loan_30K","avg_friends_family_30K","avg_utilities_30K","avg_non_loan_share_30K","avg_secured_share_30K","avg_unsecured_share_30K"
"Amity",10,3.2,1.4,0.5,1.3,0.4,0.4,0.2,0.5,0.472222222222222,0.164814814814815,0.362962962962963,5,2,1,0.2,0.8,0,0.6,0.2,0.4,0.583333333333333,0.0833333333333333,0.333333333333333,5,2,1,0.2,0.8,0,0.6,0.2,0.4,0.583333333333333,0.0833333333333333,0.333333333333333
"Annex",14,2,1.14285714285714,0.285714285714286,0.571428571428571,0.0714285714285714,0.214285714285714,0.214285714285714,0.285714285714286,0.642261904761905,0.111607142857143,0.246130952380952,8,0.875,0.625,0,0.25,0,0.125,0.125,0.25,0.722222222222222,0,0.277777777777778,11,1.63636363636364,0.909090909090909,0.272727272727273,0.454545454545455,0,0.181818181818182,0.181818181818182,0.272727272727273,0.597619047619048,0.128571428571429,0.273809523809524
"Beaver Hills",16,2.875,1,0.75,1.125,0.4375,0.375,0.0625,0.1875,0.344387755102041,0.255952380952381,0.399659863945578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2.88888888888889,1.55555555555556,0.444444444444444,0.888888888888889,0.222222222222222,0.333333333333333,0.111111111111111,0.222222222222222,0.48015873015873,0.212962962962963,0.306878306878307
"Dixwell",15,2.93333333333333,1.33333333333333,0.466666666666667,1.13333333333333,0.2,0.533333333333333,0.133333333333333,0.4,0.450595238095238,0.139880952380952,0.40952380952381,8,2.25,1.25,0,1,0.125,0.5,0.25,0.25,0.442857142857143,0,0.557142857142857,13,3,1.53846153846154,0.307692307692308,1.15384615384615,0.230769230769231,0.461538461538462,0.153846153846154,0.461538461538462,0.525694444444444,0.0659722222222222,0.408333333333333
"Downtown",18,1.55555555555556,0.555555555555556,0.0555555555555556,0.944444444444444,0.333333333333333,0.277777777777778,0.277777777777778,0,0.275,0.0238095238095238,0.701190476190476,8,2,0.75,0.125,1.125,0.375,0.125,0.5,0,0.3,0.0476190476190476,0.652380952380952,13,1.76923076923077,0.692307692307692,0.0769230769230769,1,0.307692307692308,0.230769230769231,0.384615384615385,0,0.285,0.0333333333333333,0.681666666666667
"Dwight",19,1.84210526315789,1.15789473684211,0.157894736842105,0.526315789473684,0.0526315789473684,0.157894736842105,0.263157894736842,0.157894736842105,0.613095238095238,0.1,0.286904761904762,8,2.25,1.5,0.125,0.625,0,0.25,0.375,0.125,0.621428571428571,0.0285714285714286,0.35,16,1.75,1.1875,0.0625,0.5,0,0.1875,0.3125,0.1875,0.653030303030303,0.0181818181818182,0.328787878787879
"East Rock",11,1.90909090909091,0.454545454545455,0.181818181818182,1.27272727272727,0.636363636363636,0.181818181818182,0.363636363636364,0,0.173333333333333,0.133333333333333,0.693333333333333,4,2,0.75,0.25,1,0,0.25,0.5,0,0.3,0.333333333333333,0.366666666666667,6,2,0.666666666666667,0.166666666666667,1.16666666666667,0.333333333333333,0.166666666666667,0.5,0,0.28,0.2,0.52
"East Shore",4,2.75,1.25,0.5,1,0.25,0.5,0.25,0,0.375,0.28125,0.34375,2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,3,1,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"Edgewood",13,3.15384615384615,1.61538461538462,0.230769230769231,1.30769230769231,0.384615384615385,0.384615384615385,0.461538461538462,0.307692307692308,0.450757575757576,0.0863636363636364,0.462878787878788,5,3.4,2,0.2,1.2,0.2,0.2,0.8,0.2,0.513333333333333,0.1,0.386666666666667,9,2.66666666666667,1.44444444444444,0.111111111111111,1.11111111111111,0.222222222222222,0.333333333333333,0.555555555555556,0.222222222222222,0.466666666666667,0.0625,0.470833333333333
"Fair Haven",51,2.27450980392157,0.882352941176471,0.333333333333333,1.05882352941176,0.352941176470588,0.411764705882353,0.254901960784314,0.392156862745098,0.356382978723404,0.113120567375887,0.530496453900709,14,1.57142857142857,0.785714285714286,0.142857142857143,0.642857142857143,0.0714285714285714,0.214285714285714,0.285714285714286,0.357142857142857,0.477272727272727,0.0681818181818182,0.454545454545455,43,2.09302325581395,0.837209302325581,0.27906976744186,0.976744186046512,0.372093023255814,0.348837209302326,0.232558139534884,0.395348837209302,0.367948717948718,0.0948717948717949,0.537179487179487
"Fair Haven Heights",23,1.78260869565217,0.434782608695652,0.434782608695652,0.91304347826087,0.347826086956522,0.347826086956522,0.173913043478261,0.130434782608696,0.22156862745098,0.172549019607843,0.605882352941176,11,1.54545454545455,0.454545454545455,0.272727272727273,0.818181818181818,0.272727272727273,0.363636363636364,0.181818181818182,0.181818181818182,0.175,0.1125,0.7125,17,1.52941176470588,0.411764705882353,0.294117647058824,0.823529411764706,0.294117647058824,0.352941176470588,0.117647058823529,0.176470588235294,0.175757575757576,0.13030303030303,0.693939393939394
"Hill",56,2.82142857142857,1.16071428571429,0.464285714285714,1.19642857142857,0.428571428571429,0.357142857142857,0.303571428571429,0.285714285714286,0.394791666666667,0.156696428571429,0.448511904761905,19,2.10526315789474,1.26315789473684,0.0526315789473684,0.789473684210526,0.0526315789473684,0.315789473684211,0.368421052631579,0.263157894736842,0.598717948717949,0.0153846153846154,0.385897435897436,42,2.4047619047619,1.19047619047619,0.30952380952381,0.904761904761905,0.285714285714286,0.261904761904762,0.285714285714286,0.285714285714286,0.469607843137255,0.142647058823529,0.387745098039216
"Long Wharf",2,2.5,2,0,0.5,0,0,0.5,0.5,0.875,0,0.125,2,2.5,2,0,0.5,0,0,0.5,0.5,0.875,0,0.125,2,2.5,2,0,0.5,0,0,0.5,0.5,0.875,0,0.125
"Newhallville",14,2.28571428571429,1,0.357142857142857,0.928571428571429,0.428571428571429,0.285714285714286,0.142857142857143,0.285714285714286,0.383333333333333,0.112121212121212,0.504545454545455,1,4,3,0,1,0,0,1,1,0.75,0,0.25,13,2.23076923076923,0.923076923076923,0.384615384615385,0.923076923076923,0.461538461538462,0.307692307692308,0.153846153846154,0.230769230769231,0.355,0.123333333333333,0.521666666666667
"Prospect Hill",13,2.23076923076923,0.846153846153846,0.0769230769230769,1.30769230769231,0.230769230769231,0.461538461538462,0.461538461538462,0.153846153846154,0.287878787878788,0.0227272727272727,0.689393939393939,5,2.4,1.2,0,1.2,0,0.4,0.4,0.2,0.4375,0,0.5625,12,2.25,0.916666666666667,0.0833333333333333,1.25,0.25,0.416666666666667,0.416666666666667,0.166666666666667,0.316666666666667,0.025,0.658333333333333
"Quinnipiac Meadows",16,2.5,0.875,0.375,1.25,0.375,0.25,0.5,0.25,0.358333333333333,0.0861111111111111,0.555555555555556,6,2.16666666666667,1,0,1.16666666666667,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0.472222222222222,0,0.527777777777778,12,2.41666666666667,1.08333333333333,0.0833333333333333,1.25,0.166666666666667,0.333333333333333,0.583333333333333,0.333333333333333,0.473484848484848,0.0113636363636364,0.515151515151515
"West River",4,2,1.25,0,0.75,0,0.25,0.5,0.5,0.472222222222222,0,0.527777777777778,3,2.66666666666667,1.66666666666667,0,1,0,0.333333333333333,0.666666666666667,0.666666666666667,0.472222222222222,0,0.527777777777778,4,2,1.25,0,0.75,0,0.25,0.5,0.5,0.472222222222222,0,0.527777777777778
